Period,Month,Shop,Category,Drink,Quantity,Net Revenue,Transactions
Current Oct-Mar,2026-02,Portlaoise,Fruit tea,Apple Soda,2.0,8.45,2
Current Oct-Mar,2026-02,Portlaoise,Fruit tea,Apple lemonade tea,12.0,49.24,12
Current Oct-Mar,2026-02,Portlaoise,Fruit tea,Mango Passion Lemonade,94.0,396.76,84
Current Oct-Mar,2026-02,Portlaoise,Fruit tea,Strawberry Lemonade,84.0,343.74,73
Current Oct-Mar,2026-02,Portlaoise,Fruit tea,Strawberry Passion lemonade,8.0,35.13,8
Current Oct-Mar,2026-02,Portlaoise,Fruit tea,Watermelon Lemonade,38.0,161.34,37
Current Oct-Mar,2026-02,Portlaoise,Milk tea,Bueno Bliss Boba,42.0,225.9,38
Current Oct-Mar,2026-02,Portlaoise,Milk tea,Earl Grey,2.0,10.2,2
Current Oct-Mar,2026-02,Portlaoise,Milk tea,Matcha Latte,7.0,42.05,7
Current Oct-Mar,2026-02,Portlaoise,Milk tea,Original milk tea,71.0,391.05,64
Current Oct-Mar,2026-02,Portlaoise,Milk tea,Pistachio Crunch Matcha,11.0,60.53,10
Current Oct-Mar,2026-02,Portlaoise,Milk tea,Strawberry Sunset,29.0,158.95,29
Current Oct-Mar,2026-02,Portlaoise,Milk tea,Strawberry milk tea,3.0,15.15,3
Current Oct-Mar,2026-02,Portlaoise,Milk tea,Taro milk tea,16.0,88.0,16
Current Oct-Mar,2026-02,Portlaoise,Milk tea,Tiger Milk,31.0,172.8,26
Current Oct-Mar,2026-02,Portlaoise,Milk tea,Vanilla Matcha,49.0,273.26,47
Current Oct-Mar,2026-02,Portlaoise,Namo Plus,Starboy,87.0,353.29,81
Current Oct-Mar,2026-02,Portlaoise,Smoothies,Dream,14.0,74.79,14
Current Oct-Mar,2026-02,Portlaoise,Smoothies,Mango Passionfruit smoothie,26.0,151.1,23
Current Oct-Mar,2026-02,Portlaoise,Specials,Loaded Chipotle Wedges,19.0,145.59,16
Current Oct-Mar,2026-02,Portlaoise,Specials,Pistachio Crunch Latte,1.0,4.85,1
Current Oct-Mar,2026-02,Portlaoise,Specials,Quesadilla,35.0,390.39,34
Current Oct-Mar,2026-02,Portlaoise,Specials,Strawberry Matcha,43.0,244.55,43
Current Oct-Mar,2026-02,Portlaoise,Specials,White Choc Matcha,19.0,101.15,17
Current Oct-Mar,2026-03,Carlow,Acai bowls & Smoothies,Classic acai,318.0,2717.5,284
Current Oct-Mar,2026-03,Carlow,Acai bowls & Smoothies,MangoLoco,25.0,213.6,24
Current Oct-Mar,2026-03,Carlow,Coffee & more,Americano,32.0,105.6,30
Current Oct-Mar,2026-03,Carlow,Coffee & more,Bueno iced latte,67.0,360.44,64
Current Oct-Mar,2026-03,Carlow,Coffee & more,Cappuccino,32.0,127.98,31
Current Oct-Mar,2026-03,Carlow,Coffee & more,Chai latte,3.0,13.95,3
Current Oct-Mar,2026-03,Carlow,Coffee & more,Espresso,1.0,2.5,1
Current Oct-Mar,2026-03,Carlow,Coffee & more,Flat white,9.0,34.95,9
Current Oct-Mar,2026-03,Carlow,Coffee & more,Hot Choc,2.0,8.1,2
Current Oct-Mar,2026-03,Carlow,Coffee & more,Iced Latte,15.0,49.2,15
Current Oct-Mar,2026-03,Carlow,Coffee & more,Iced caramel latte,102.0,534.76,98
Current Oct-Mar,2026-03,Carlow,Coffee & more,Latte,31.0,129.96,31
Current Oct-Mar,2026-03,Carlow,Coffee & more,"Oat, Coconut Milk",2.0,0.98,2
Current Oct-Mar,2026-03,Carlow,Coffee & more,Pistachio latte,1.0,5.75,1
Current Oct-Mar,2026-03,Carlow,Coffee & more,Tea,10.0,25.0,10
Current Oct-Mar,2026-03,Carlow,Coffee & more,Toasted brown sugar,72.0,322.42,70
Current Oct-Mar,2026-03,Carlow,Coffee & more,White chocolate mocha,59.0,315.87,55
Current Oct-Mar,2026-03,Carlow,Fruit tea,Apple Soda,2.0,7.72,2
Current Oct-Mar,2026-03,Carlow,Fruit tea,Apple lemonade tea,17.0,68.12,17
Current Oct-Mar,2026-03,Carlow,Fruit tea,Mango Passion Lemonade,158.0,676.53,150
Current Oct-Mar,2026-03,Carlow,Fruit tea,Strawberry Lemonade,94.0,391.91,86
Current Oct-Mar,2026-03,Carlow,Fruit tea,Strawberry Passion lemonade,27.0,117.45,25
Current Oct-Mar,2026-03,Carlow,Fruit tea,Watermelon Lemonade,87.0,361.85,81
Current Oct-Mar,2026-03,Carlow,Milk tea,Bueno Bliss Boba,86.0,458.85,79
Current Oct-Mar,2026-03,Carlow,Milk tea,Earl Grey,6.0,33.4,6
Current Oct-Mar,2026-03,Carlow,Milk tea,Matcha Latte,9.0,47.3,9
Current Oct-Mar,2026-03,Carlow,Milk tea,Original milk tea,90.0,497.04,68
Current Oct-Mar,2026-03,Carlow,Milk tea,Pistachio Crunch Matcha,1.0,5.15,1
Current Oct-Mar,2026-03,Carlow,Milk tea,Strawberry Sunset,67.0,370.75,66
Current Oct-Mar,2026-03,Carlow,Milk tea,Strawberry milk tea,8.0,38.71,8
Current Oct-Mar,2026-03,Carlow,Milk tea,Taro milk tea,39.0,214.15,37
Current Oct-Mar,2026-03,Carlow,Milk tea,Tiger Milk,22.0,123.8,21
Current Oct-Mar,2026-03,Carlow,Milk tea,Vanilla Matcha,137.0,787.32,125
Current Oct-Mar,2026-03,Carlow,Namo Plus,Starboy,190.0,793.85,166
Current Oct-Mar,2026-03,Carlow,Namo Plus Extras,Large,1.0,0.9,1
Current Oct-Mar,2026-03,Carlow,Smoothies,Dream,10.0,57.5,8
Current Oct-Mar,2026-03,Carlow,Smoothies,Mango Passionfruit smoothie,51.0,286.06,48
Current Oct-Mar,2026-03,Carlow,Smoothies,Strawberry Dream,57.0,327.75,52
Current Oct-Mar,2026-03,Carlow,Specials,Loaded Chipotle Wedges,42.0,498.9,40
Current Oct-Mar,2026-03,Carlow,Specials,Pistachio Crunch Latte,1.0,4.85,1
Current Oct-Mar,2026-03,Carlow,Specials,Piñalada,2.0,7.72,2
Current Oct-Mar,2026-03,Carlow,Specials,Quesadilla,102.0,1124.05,96
Current Oct-Mar,2026-03,Carlow,Specials,Strawberry Matcha,86.0,495.02,77
Current Oct-Mar,2026-03,Carlow,Specials,White Choc Matcha,54.0,309.53,47
Current Oct-Mar,2026-03,Clonmel,Acai bowls & Smoothies,Classic acai,431.0,3770.46,388
Current Oct-Mar,2026-03,Clonmel,Coffee & more,3€ Coffe,1.0,3.0,1
Current Oct-Mar,2026-03,Clonmel,Coffee & more,3€ Coffee,10.0,30.0,9
Current Oct-Mar,2026-03,Clonmel,Coffee & more,Americano,37.0,130.1,34
Current Oct-Mar,2026-03,Clonmel,Coffee & more,Bueno iced latte,51.0,281.08,45
Current Oct-Mar,2026-03,Clonmel,Coffee & more,Cappuccino,62.0,260.99,55
Current Oct-Mar,2026-03,Clonmel,Coffee & more,Chai latte,1.0,4.65,1
Current Oct-Mar,2026-03,Clonmel,Coffee & more,Dirty Chai,1.0,0.0,1
Current Oct-Mar,2026-03,Clonmel,Coffee & more,Double Espresso,1.0,3.5,1
Current Oct-Mar,2026-03,Clonmel,Coffee & more,Espresso,1.0,2.5,1
Current Oct-Mar,2026-03,Clonmel,Coffee & more,Flat white,12.0,46.2,12
Current Oct-Mar,2026-03,Clonmel,Coffee & more,Hot Choc,15.0,60.75,9
Current Oct-Mar,2026-03,Clonmel,Coffee & more,Iced Americano,5.0,22.11,5
Current Oct-Mar,2026-03,Clonmel,Coffee & more,Iced caramel latte,92.0,515.12,85
Current Oct-Mar,2026-03,Clonmel,Coffee & more,Latte,25.0,110.9,23
Current Oct-Mar,2026-03,Clonmel,Coffee & more,Pistachio latte,3.0,16.4,3
Current Oct-Mar,2026-03,Clonmel,Coffee & more,Toasted brown sugar,6.0,34.05,6
Current Oct-Mar,2026-03,Clonmel,Coffee & more,White chocolate mocha,31.0,171.24,31
Current Oct-Mar,2026-03,Clonmel,Fruit tea,Apple lemonade tea,17.0,71.79,15
Current Oct-Mar,2026-03,Clonmel,Fruit tea,Mango Passion Lemonade,123.0,534.61,107
Current Oct-Mar,2026-03,Clonmel,Fruit tea,Mango Soda,2.0,7.56,2
Current Oct-Mar,2026-03,Clonmel,Fruit tea,Strawberry Lemonade,34.0,148.21,33
Current Oct-Mar,2026-03,Clonmel,Fruit tea,Strawberry Passion lemonade,20.0,83.35,17
Current Oct-Mar,2026-03,Clonmel,Fruit tea,Watermelon Lemonade,67.0,285.58,63
Current Oct-Mar,2026-03,Clonmel,Milk tea,Bueno Bliss Boba,35.0,188.75,33
Current Oct-Mar,2026-03,Clonmel,Milk tea,Matcha Latte,25.0,133.0,23
Current Oct-Mar,2026-03,Clonmel,Milk tea,Original milk tea,66.0,360.5,59
Current Oct-Mar,2026-03,Clonmel,Milk tea,Pistachio Crunch Matcha,2.0,12.2,2
Current Oct-Mar,2026-03,Clonmel,Milk tea,Strawberry Sunset,50.0,278.65,44
Current Oct-Mar,2026-03,Clonmel,Milk tea,Strawberry milk tea,7.0,37.05,5
Current Oct-Mar,2026-03,Clonmel,Milk tea,Taro milk tea,30.0,166.95,26
Current Oct-Mar,2026-03,Clonmel,Milk tea,Tiger Milk,31.0,172.25,27
Current Oct-Mar,2026-03,Clonmel,Milk tea,Vanilla Matcha,30.0,160.66,30
Current Oct-Mar,2026-03,Clonmel,Namo Plus,Starboy,82.0,341.06,71
Current Oct-Mar,2026-03,Clonmel,Smoothies,Mango Passionfruit smoothie,65.0,367.43,55
Current Oct-Mar,2026-03,Clonmel,Smoothies,Strawberry Dream,47.0,268.81,45
Current Oct-Mar,2026-03,Clonmel,Specials,Loaded Chipotle Wedges,15.0,150.78,12
Current Oct-Mar,2026-03,Clonmel,Specials,Pistachio Crunch Latte,3.0,16.45,3
Current Oct-Mar,2026-03,Clonmel,Specials,Piñalada,6.0,33.65,5
Current Oct-Mar,2026-03,Clonmel,Specials,Quesadilla,49.0,525.55,44
Current Oct-Mar,2026-03,Clonmel,Specials,Strawberry Matcha,46.0,258.15,43
Current Oct-Mar,2026-03,Clonmel,Specials,White Choc Matcha,37.0,198.7,34
Current Oct-Mar,2026-03,Kilkenny Mexican,Specials,Cinema deal (mon - wed),4.0,59.74,3
Current Oct-Mar,2026-03,Kilkenny Mexican,Specials,Enchiladas,1.0,10.53,1
Current Oct-Mar,2026-03,Kilkenny Mexican,Specials,Loaded Chipotle Wedges,17.0,189.25,16
Current Oct-Mar,2026-03,Kilkenny Mexican,Specials,Quesadilla,54.0,586.58,50
Current Oct-Mar,2026-03,Kilkenny Plus,Acai bowls & Smoothies,Classic acai,85.0,673.2,79
Current Oct-Mar,2026-03,Kilkenny Plus,Acai bowls & Smoothies,MangoLoco,4.0,36.2,4
Current Oct-Mar,2026-03,Kilkenny Plus,Acai bowls & Smoothies,Medium Acai Bowl,232.0,1932.52,202
Current Oct-Mar,2026-03,Kilkenny Plus,Acai bowls & Smoothies,Small Acai Bowl,3.0,16.5,3
Current Oct-Mar,2026-03,Kilkenny Plus,Coffee & more,Americano,10.0,35.0,9
Current Oct-Mar,2026-03,Kilkenny Plus,Coffee & more,Bueno iced latte,49.0,250.69,48
Current Oct-Mar,2026-03,Kilkenny Plus,Coffee & more,Cappuccino,19.0,72.78,18
Current Oct-Mar,2026-03,Kilkenny Plus,Coffee & more,Double Espresso,1.0,3.5,1
Current Oct-Mar,2026-03,Kilkenny Plus,Coffee & more,Espresso,1.0,2.5,1
Current Oct-Mar,2026-03,Kilkenny Plus,Coffee & more,Flat white,3.0,11.25,3
Current Oct-Mar,2026-03,Kilkenny Plus,Coffee & more,Hot Choc,1.0,4.05,1
Current Oct-Mar,2026-03,Kilkenny Plus,Coffee & more,Iced Americano,3.0,3.41,2
Current Oct-Mar,2026-03,Kilkenny Plus,Coffee & more,Iced Latte,10.0,16.5,7
Current Oct-Mar,2026-03,Kilkenny Plus,Coffee & more,Iced caramel latte,55.0,219.8,52
Current Oct-Mar,2026-03,Kilkenny Plus,Coffee & more,Latte,16.0,55.7,13
Current Oct-Mar,2026-03,Kilkenny Plus,Coffee & more,Toasted brown sugar,14.0,76.4,14
Current Oct-Mar,2026-03,Kilkenny Plus,Coffee & more,White chocolate mocha,29.0,155.45,27
Current Oct-Mar,2026-03,Kilkenny Plus,Fruit tea,Apple Soda,5.0,18.34,5
Current Oct-Mar,2026-03,Kilkenny Plus,Fruit tea,Apple lemonade tea,29.0,115.99,29
Current Oct-Mar,2026-03,Kilkenny Plus,Fruit tea,Mango Passion Lemonade,134.0,565.79,128
Current Oct-Mar,2026-03,Kilkenny Plus,Fruit tea,Mango Soda,4.0,15.89,4
Current Oct-Mar,2026-03,Kilkenny Plus,Fruit tea,Strawberry Lemonade,147.0,597.19,130
Current Oct-Mar,2026-03,Kilkenny Plus,Fruit tea,Strawberry Passion lemonade,49.0,221.12,35
Current Oct-Mar,2026-03,Kilkenny Plus,Fruit tea,Watermelon Lemonade,74.0,303.28,71
Current Oct-Mar,2026-03,Kilkenny Plus,Milk tea,Bueno Bliss Boba,72.0,391.3,68
Current Oct-Mar,2026-03,Kilkenny Plus,Milk tea,Matcha Latte,17.0,72.01,17
Current Oct-Mar,2026-03,Kilkenny Plus,Milk tea,Original milk tea,101.0,564.17,93
Current Oct-Mar,2026-03,Kilkenny Plus,Milk tea,Pistachio Crunch Matcha,9.0,47.5,8
Current Oct-Mar,2026-03,Kilkenny Plus,Milk tea,Strawberry Sunset,112.0,594.46,101
Current Oct-Mar,2026-03,Kilkenny Plus,Milk tea,Strawberry milk tea,30.0,154.4,28
Current Oct-Mar,2026-03,Kilkenny Plus,Milk tea,Taro milk tea,51.0,266.47,50
Current Oct-Mar,2026-03,Kilkenny Plus,Milk tea,Tiger Milk,93.0,517.58,84
Current Oct-Mar,2026-03,Kilkenny Plus,Milk tea,Vanilla Matcha,47.0,258.91,45
Current Oct-Mar,2026-03,Kilkenny Plus,Namo Plus,Starboy,211.0,865.83,193
Current Oct-Mar,2026-03,Kilkenny Plus,Smoothies,Dragonfruit Strawberry,2.0,11.5,2
Current Oct-Mar,2026-03,Kilkenny Plus,Smoothies,Dream,2.0,11.5,2
Current Oct-Mar,2026-03,Kilkenny Plus,Smoothies,Mango Passionfruit smoothie,44.0,230.6,42
Current Oct-Mar,2026-03,Kilkenny Plus,Smoothies,Strawberry Dream,27.0,149.5,25
Current Oct-Mar,2026-03,Kilkenny Plus,Specials,Pistachio Crunch Latte,1.0,4.85,1
Current Oct-Mar,2026-03,Kilkenny Plus,Specials,Strawberry Matcha,73.0,313.91,65
Current Oct-Mar,2026-03,Kilkenny Plus,Specials,White Choc Matcha,39.0,198.56,34
Current Oct-Mar,2026-03,Portlaoise,Acai bowls & Smoothies,Classic acai,394.0,3376.4,332
Current Oct-Mar,2026-03,Portlaoise,Coffee & more,Americano,41.0,137.92,35
Current Oct-Mar,2026-03,Portlaoise,Coffee & more,Bueno iced latte,28.0,148.35,28
Current Oct-Mar,2026-03,Portlaoise,Coffee & more,Cappuccino,50.0,195.85,45
Current Oct-Mar,2026-03,Portlaoise,Coffee & more,Espresso,3.0,7.5,3
Current Oct-Mar,2026-03,Portlaoise,Coffee & more,Flat white,6.0,23.7,5
Current Oct-Mar,2026-03,Portlaoise,Coffee & more,Hot Choc,9.0,31.97,8
Current Oct-Mar,2026-03,Portlaoise,Coffee & more,Iced Latte,17.0,49.95,17
Current Oct-Mar,2026-03,Portlaoise,Coffee & more,Iced caramel latte,67.0,225.64,66
Current Oct-Mar,2026-03,Portlaoise,Coffee & more,Latte,25.0,95.97,24
Current Oct-Mar,2026-03,Portlaoise,Coffee & more,Pistachio latte,1.0,5.45,1
Current Oct-Mar,2026-03,Portlaoise,Coffee & more,Tea,12.0,30.0,10
Current Oct-Mar,2026-03,Portlaoise,Coffee & more,Toasted brown sugar,32.0,168.63,30
Current Oct-Mar,2026-03,Portlaoise,Coffee & more,White chocolate mocha,26.0,132.43,26
Current Oct-Mar,2026-03,Portlaoise,Fruit tea,Apple lemonade tea,20.0,81.63,20
Current Oct-Mar,2026-03,Portlaoise,Fruit tea,Mango Passion Lemonade,97.0,414.68,91
Current Oct-Mar,2026-03,Portlaoise,Fruit tea,Mango Soda,1.0,2.84,1
Current Oct-Mar,2026-03,Portlaoise,Fruit tea,Strawberry Lemonade,104.0,432.34,93
Current Oct-Mar,2026-03,Portlaoise,Fruit tea,Strawberry Passion lemonade,15.0,60.96,12
Current Oct-Mar,2026-03,Portlaoise,Fruit tea,Watermelon Lemonade,51.0,210.05,48
Current Oct-Mar,2026-03,Portlaoise,Milk tea,Bueno Bliss Boba,75.0,399.43,70
Current Oct-Mar,2026-03,Portlaoise,Milk tea,Earl Grey,11.0,57.67,10
Current Oct-Mar,2026-03,Portlaoise,Milk tea,Matcha Latte,7.0,34.8,7
Current Oct-Mar,2026-03,Portlaoise,Milk tea,Original milk tea,56.0,311.25,49
Current Oct-Mar,2026-03,Portlaoise,Milk tea,Pistachio Crunch Matcha,9.0,50.6,9
Current Oct-Mar,2026-03,Portlaoise,Milk tea,Strawberry Sunset,34.0,182.7,32
Current Oct-Mar,2026-03,Portlaoise,Milk tea,Strawberry milk tea,2.0,9.5,2
Current Oct-Mar,2026-03,Portlaoise,Milk tea,Taro milk tea,20.0,103.54,20
Current Oct-Mar,2026-03,Portlaoise,Milk tea,Tiger Milk,40.0,212.47,38
Current Oct-Mar,2026-03,Portlaoise,Milk tea,Vanilla Matcha,65.0,366.65,61
Current Oct-Mar,2026-03,Portlaoise,Namo Plus,Starboy,113.0,459.47,101
Current Oct-Mar,2026-03,Portlaoise,Namo Plus Extras,Large,1.0,0.9,1
Current Oct-Mar,2026-03,Portlaoise,Smoothies,Dream,1.0,5.75,1
Current Oct-Mar,2026-03,Portlaoise,Smoothies,Mango Passionfruit smoothie,39.0,222.81,36
Current Oct-Mar,2026-03,Portlaoise,Smoothies,Strawberry Dream,31.0,178.25,27
Current Oct-Mar,2026-03,Portlaoise,Specials,Loaded Chipotle Wedges,13.0,88.01,9
Current Oct-Mar,2026-03,Portlaoise,Specials,Pistachio Crunch Latte,2.0,9.7,2
Current Oct-Mar,2026-03,Portlaoise,Specials,Piñalada,3.0,15.11,3
Current Oct-Mar,2026-03,Portlaoise,Specials,Quesadilla,40.0,458.08,37
Current Oct-Mar,2026-03,Portlaoise,Specials,Strawberry Matcha,44.0,240.05,41
Current Oct-Mar,2026-03,Portlaoise,Specials,White Choc Matcha,9.0,50.4,9
Current Oct-Mar,2026-03,Waterfordd,Fruit tea,Strawberry Lemonade,1.0,0.0,1
Last Year 3M,2025-04,Carlow,Acai bowls & Smoothies,Classic acai,282.0,2438.7,237
Last Year 3M,2025-04,Carlow,Acai bowls & Smoothies,FruitNinja,6.0,48.0,4
Last Year 3M,2025-04,Carlow,Acai bowls & Smoothies,MangoLoco,37.0,323.1,35
Last Year 3M,2025-04,Carlow,Coffee & more,Americano,18.0,63.0,15
Last Year 3M,2025-04,Carlow,Coffee & more,Bueno iced latte,41.0,224.05,37
Last Year 3M,2025-04,Carlow,Coffee & more,Cappuccino,14.0,52.3,12
Last Year 3M,2025-04,Carlow,Coffee & more,Flat white,1.0,3.35,1
Last Year 3M,2025-04,Carlow,Coffee & more,Hot Choc,1.0,3.5,1
Last Year 3M,2025-04,Carlow,Coffee & more,Iced Vanilla cold cap,1.0,5.75,1
Last Year 3M,2025-04,Carlow,Coffee & more,Iced caramel latte,30.0,156.4,28
Last Year 3M,2025-04,Carlow,Coffee & more,Iced latte (1),9.0,49.05,8
Last Year 3M,2025-04,Carlow,Coffee & more,Latte,30.0,110.94,29
Last Year 3M,2025-04,Carlow,Coffee & more,"Oat, Coconut Milk",2.0,0.73,1
Last Year 3M,2025-04,Carlow,Coffee & more,Pistachio latte,24.0,124.0,23
Last Year 3M,2025-04,Carlow,Coffee & more,Tea,9.0,22.5,9
Last Year 3M,2025-04,Carlow,Coffee & more,Toasted brown sugar,17.0,89.05,17
Last Year 3M,2025-04,Carlow,Coffee & more,White chocolate mocha,29.0,147.0,26
Last Year 3M,2025-04,Carlow,Fruit tea,Apple Soda,9.0,37.32,8
Last Year 3M,2025-04,Carlow,Fruit tea,Apple lemonade tea,8.0,29.27,8
Last Year 3M,2025-04,Carlow,Fruit tea,Mango Passion Lemonade,3.0,12.8,3
Last Year 3M,2025-04,Carlow,Fruit tea,Strawberry Lemonade,68.0,275.91,63
Last Year 3M,2025-04,Carlow,Fruit tea,Strawberry Passion lemonade,86.0,359.29,80
Last Year 3M,2025-04,Carlow,Fruit tea,Watermelon Lemonade,52.0,204.45,46
Last Year 3M,2025-04,Carlow,Milk tea,Bueno Bliss Boba,12.0,62.4,11
Last Year 3M,2025-04,Carlow,Milk tea,Earl Grey,2.0,9.5,2
Last Year 3M,2025-04,Carlow,Milk tea,Honey Mango Latte,6.0,31.5,5
Last Year 3M,2025-04,Carlow,Milk tea,Honeydew MT,1.0,4.65,1
Last Year 3M,2025-04,Carlow,Milk tea,Mango Milk tea,9.0,47.25,8
Last Year 3M,2025-04,Carlow,Milk tea,Matcha Latte,16.0,79.02,14
Last Year 3M,2025-04,Carlow,Milk tea,Oat matcha latte HOT (no boba),1.0,3.64,1
Last Year 3M,2025-04,Carlow,Milk tea,Original milk tea,13.0,63.0,12
Last Year 3M,2025-04,Carlow,Milk tea,Strawberry Sunset,36.0,171.1,29
Last Year 3M,2025-04,Carlow,Milk tea,Strawberry milk tea,3.0,16.95,3
Last Year 3M,2025-04,Carlow,Milk tea,Taro milk tea,24.0,118.25,23
Last Year 3M,2025-04,Carlow,Milk tea,Tiger Milk,27.0,142.45,25
Last Year 3M,2025-04,Carlow,Namo Plus,Starboy,104.0,428.99,96
Last Year 3M,2025-04,Carlow,Smoothies,Dream,13.0,79.25,11
Last Year 3M,2025-04,Carlow,Smoothies,Mango Passionfruit smoothie,22.0,118.96,21
Last Year 3M,2025-04,Carlow,Specials,Cinema deal (mon - wed),9.0,131.55,6
Last Year 3M,2025-04,Carlow,Specials,Enchiladas,19.0,203.09,18
Last Year 3M,2025-04,Carlow,Specials,Loaded Chipotle Wedges,42.0,429.77,40
Last Year 3M,2025-04,Carlow,Specials,Passionfruit Soda,1.0,3.78,1
Last Year 3M,2025-04,Carlow,Specials,Pink velvet (coffee),1.0,5.8,1
Last Year 3M,2025-04,Carlow,Specials,Piñalada,3.0,15.9,3
Last Year 3M,2025-04,Carlow,Specials,Quesadilla,69.0,722.79,67
Last Year 3M,2025-04,Carlow,Specials,Straw Matcha,12.0,59.77,10
Last Year 3M,2025-04,Carlow,Specials,Strawberry red velvet milk t,8.0,31.8,8
Last Year 3M,2025-04,Carlow,Specials,strawberry pinalada,11.0,59.1,9
Last Year 3M,2025-04,Clonmel,Acai bowls & Smoothies,Classic acai,390.0,3327.45,318
Last Year 3M,2025-04,Clonmel,Coffee & more,3€ Coffe,4.0,12.0,4
Last Year 3M,2025-04,Clonmel,Coffee & more,Americano,14.0,49.0,12
Last Year 3M,2025-04,Clonmel,Coffee & more,Bueno iced latte,43.0,226.86,37
Last Year 3M,2025-04,Clonmel,Coffee & more,Cappuccino,32.0,117.69,30
Last Year 3M,2025-04,Clonmel,Coffee & more,Espresso,1.0,2.5,1
Last Year 3M,2025-04,Clonmel,Coffee & more,Flat white,2.0,6.7,2
Last Year 3M,2025-04,Clonmel,Coffee & more,Hot Choc,1.0,3.5,1
Last Year 3M,2025-04,Clonmel,Coffee & more,Iced Vanilla cold cap,3.0,15.45,3
Last Year 3M,2025-04,Clonmel,Coffee & more,Iced caramel latte,32.0,163.55,29
Last Year 3M,2025-04,Clonmel,Coffee & more,Latte,20.0,74.34,20
Last Year 3M,2025-04,Clonmel,Coffee & more,Pistachio latte,7.0,36.65,6
Last Year 3M,2025-04,Clonmel,Coffee & more,Toasted brown sugar,8.0,37.25,8
Last Year 3M,2025-04,Clonmel,Coffee & more,White chocolate mocha,23.0,113.25,19
Last Year 3M,2025-04,Clonmel,Fruit tea,Apple Soda,1.0,3.78,1
Last Year 3M,2025-04,Clonmel,Fruit tea,Apple lemonade tea,27.0,109.01,25
Last Year 3M,2025-04,Clonmel,Fruit tea,Lemonade no boba medium,6.0,19.82,4
Last Year 3M,2025-04,Clonmel,Fruit tea,Mango Iced Teas,1.0,3.05,1
Last Year 3M,2025-04,Clonmel,Fruit tea,Mango Passion Lemonade,24.0,96.97,22
Last Year 3M,2025-04,Clonmel,Fruit tea,Mango Soda (NEW),12.0,46.82,11
Last Year 3M,2025-04,Clonmel,Fruit tea,Passion black tea,2.0,7.0,2
Last Year 3M,2025-04,Clonmel,Fruit tea,Strawberry Lemonade,59.0,232.74,54
Last Year 3M,2025-04,Clonmel,Fruit tea,Strawberry Passion lemonade,39.0,163.58,37
Last Year 3M,2025-04,Clonmel,Fruit tea,Watermelon Lemonade,44.0,174.44,42
Last Year 3M,2025-04,Clonmel,Fruit tea,mango passion Fruit Tea,5.0,24.15,3
Last Year 3M,2025-04,Clonmel,Milk tea,Matcha Latte,32.0,156.82,32
Last Year 3M,2025-04,Clonmel,Milk tea,Original milk tea,3.0,14.19,3
Last Year 3M,2025-04,Clonmel,Milk tea,Strawberry Sunset,41.0,211.2,35
Last Year 3M,2025-04,Clonmel,Milk tea,Strawberry milk tea,8.0,39.8,8
Last Year 3M,2025-04,Clonmel,Milk tea,Taro milk tea,12.0,61.0,12
Last Year 3M,2025-04,Clonmel,Milk tea,Tiger Milk,44.0,199.11,40
Last Year 3M,2025-04,Clonmel,Namo Plus,Starboy,66.0,265.53,57
Last Year 3M,2025-04,Clonmel,Smoothies,Dream,4.0,23.0,3
Last Year 3M,2025-04,Clonmel,Smoothies,Mango Passionfruit smoothie,39.0,232.35,38
Last Year 3M,2025-04,Clonmel,Specials,Cinema deal (mon - wed),4.0,62.92,4
Last Year 3M,2025-04,Clonmel,Specials,Enchiladas,12.0,119.46,12
Last Year 3M,2025-04,Clonmel,Specials,Loaded Chipotle Wedges,19.0,182.84,19
Last Year 3M,2025-04,Clonmel,Specials,Pink velvet (coffee),2.0,10.7,2
Last Year 3M,2025-04,Clonmel,Specials,Piñalada,4.0,20.1,4
Last Year 3M,2025-04,Clonmel,Specials,Quesadilla,41.0,423.4,35
Last Year 3M,2025-04,Clonmel,Specials,Straw Matcha,3.0,15.15,3
Last Year 3M,2025-04,Clonmel,Specials,strawberry pinalada,19.0,103.8,17
Last Year 3M,2025-04,Food Trailer,Acai bowls & Smoothies,Classic acai,40.0,340.0,38
Last Year 3M,2025-04,Kilkenny Mexican,Specials,Cinema deal (mon - wed),1.0,14.1,1
Last Year 3M,2025-04,Kilkenny Mexican,Specials,Enchiladas,5.0,52.65,5
Last Year 3M,2025-04,Kilkenny Mexican,Specials,Loaded Chipotle Wedges,27.0,289.93,26
Last Year 3M,2025-04,Kilkenny Mexican,Specials,Quesadilla,53.0,562.02,48
Last Year 3M,2025-04,Kilkenny Plus,Acai bowls & Smoothies,Classic acai,156.0,1328.46,134
Last Year 3M,2025-04,Kilkenny Plus,Acai bowls & Smoothies,FruitNinja,5.0,40.0,5
Last Year 3M,2025-04,Kilkenny Plus,Acai bowls & Smoothies,MangoLoco,3.0,25.8,3
Last Year 3M,2025-04,Kilkenny Plus,Acai bowls & Smoothies,Medium Acai Bowl,264.0,2109.6,239
Last Year 3M,2025-04,Kilkenny Plus,Acai bowls & Smoothies,Small Acai Bowl,72.0,421.15,64
Last Year 3M,2025-04,Kilkenny Plus,Coffee & more,Americano,6.0,21.0,6
Last Year 3M,2025-04,Kilkenny Plus,Coffee & more,Bueno iced latte,40.0,205.4,39
Last Year 3M,2025-04,Kilkenny Plus,Coffee & more,Cappuccino,13.0,47.45,13
Last Year 3M,2025-04,Kilkenny Plus,Coffee & more,Chai latte,1.0,4.65,1
